company,metric_key,period_label,value
CONSOLIDATED,totalIncome,January-26,693153
CONSOLIDATED,totalIncome,February-26,798025
CONSOLIDATED,totalIncome,March-26,718322
CONSOLIDATED,totalIncome,April-26,716047
CONSOLIDATED,totalIncome,May-26,716067
CONSOLIDATED,totalIncome,June-26,906449
CONSOLIDATED,totalIncome,July-26,712273
CONSOLIDATED,totalIncome,August-26,712508
CONSOLIDATED,totalIncome,September-26,712748
CONSOLIDATED,totalIncome,October-26,712993
CONSOLIDATED,totalIncome,November-26,713243
CONSOLIDATED,totalIncome,December-26,713498
CONSOLIDATED,cogs,January-26,-497474
CONSOLIDATED,cogs,February-26,-578699
CONSOLIDATED,cogs,March-26,-535675
CONSOLIDATED,cogs,April-26,-534752
CONSOLIDATED,cogs,May-26,-534782
CONSOLIDATED,cogs,June-26,-677527
CONSOLIDATED,cogs,July-26,-533027
CONSOLIDATED,cogs,August-26,-533161
CONSOLIDATED,cogs,September-26,-533298
CONSOLIDATED,cogs,October-26,-533438
CONSOLIDATED,cogs,November-26,-533580
CONSOLIDATED,cogs,December-26,-533725
CONSOLIDATED,grossProfit,January-26,195679
CONSOLIDATED,grossProfit,February-26,219327
CONSOLIDATED,grossProfit,March-26,182646
CONSOLIDATED,grossProfit,April-26,181295
CONSOLIDATED,grossProfit,May-26,181284
CONSOLIDATED,grossProfit,June-26,228922
CONSOLIDATED,grossProfit,July-26,179246
CONSOLIDATED,grossProfit,August-26,179347
CONSOLIDATED,grossProfit,September-26,179450
CONSOLIDATED,grossProfit,October-26,179555
CONSOLIDATED,grossProfit,November-26,179663
CONSOLIDATED,grossProfit,December-26,179772
CONSOLIDATED,totalExpenses,January-26,-195412
CONSOLIDATED,totalExpenses,February-26,-203921
CONSOLIDATED,totalExpenses,March-26,-178605
CONSOLIDATED,totalExpenses,April-26,-174797
CONSOLIDATED,totalExpenses,May-26,-171297
CONSOLIDATED,totalExpenses,June-26,-171297
CONSOLIDATED,totalExpenses,July-26,-171297
CONSOLIDATED,totalExpenses,August-26,-171297
CONSOLIDATED,totalExpenses,September-26,-171297
CONSOLIDATED,totalExpenses,October-26,-171297
CONSOLIDATED,totalExpenses,November-26,-171297
CONSOLIDATED,totalExpenses,December-26,-171297
CONSOLIDATED,operatingIncome,January-26,267
CONSOLIDATED,operatingIncome,February-26,15406
CONSOLIDATED,operatingIncome,March-26,4041
CONSOLIDATED,operatingIncome,April-26,6498
CONSOLIDATED,operatingIncome,May-26,9987
CONSOLIDATED,operatingIncome,June-26,57625
CONSOLIDATED,operatingIncome,July-26,7949
CONSOLIDATED,operatingIncome,August-26,8050
CONSOLIDATED,operatingIncome,September-26,8153
CONSOLIDATED,operatingIncome,October-26,8259
CONSOLIDATED,operatingIncome,November-26,8366
CONSOLIDATED,operatingIncome,December-26,8475
Ryz Labs HC LLC,totalIncome,January-26,665520
Ryz Labs HC LLC,totalIncome,February-26,704076
Ryz Labs HC LLC,totalIncome,March-26,704153
